X,Y,class
4.26E-01,6.77E-01,-1.00E+00
-6.37E-01,-3.97E-01,-1.00E+00
-1.33E-01,-2.98E-01,-1.00E+00
-3.09E-01,-1.68E+00,-1.00E+00
1.15E+00,1.08E+00,-1.00E+00
-8.13E-01,-1.47E+00,-1.00E+00
5.21E-01,-5.76E-01,1.00E+00
1.42E-01,-3.19E-01,1.00E+00
6.92E-01,6.95E-01,-1.00E+00
-7.26E-01,-1.38E+00,-1.00E+00
-1.58E+00,6.10E-01,1.00E+00
-1.19E+00,-5.07E-01,-1.00E+00
-5.96E-01,-5.26E-02,-1.00E+00
-1.94E+00,1.89E-01,1.00E+00
5.24E-01,8.84E-02,-1.00E+00
-3.11E-01,9.74E-02,1.00E+00
3.99E-01,-2.77E+00,1.00E+00
1.96E+00,3.90E-01,-1.00E+00
-6.52E-01,-3.91E-01,-1.00E+00
4.94E-01,-1.16E-01,1.00E+00
-2.03E+00,2.06E+00,1.00E+00
-1.11E-01,1.02E+00,1.00E+00
-6.92E-01,1.54E+00,1.00E+00
2.86E-01,6.09E-01,-1.00E+00
-1.05E+00,1.21E+00,1.00E+00
6.90E-01,1.30E+00,-1.00E+00
-6.28E-01,-4.81E-01,-1.00E+00
2.30E+00,-1.06E+00,1.00E+00
-1.36E-01,1.14E+00,1.00E+00
9.77E-02,5.83E-01,-1.00E+00
-3.99E-01,3.70E-01,1.00E+00
-1.31E+00,1.66E+00,1.00E+00
-1.18E-01,-6.80E-01,-1.00E+00
6.66E-01,-4.61E-01,1.00E+00
-1.33E+00,-1.35E+00,-1.00E+00
6.94E-01,-1.60E-01,1.00E+00
-1.34E-01,1.08E+00,1.00E+00
-1.13E+00,-7.31E-01,-1.00E+00
-3.85E-01,9.44E-02,1.00E+00
-4.22E-02,-2.87E-01,-1.00E+00
-6.16E-02,-1.07E-01,-1.00E+00
-7.20E-01,-8.13E-01,-1.00E+00
2.75E-01,-8.91E-01,1.00E+00
-1.16E+00,-3.12E-01,-1.00E+00
-1.58E-01,2.26E+00,1.00E+00
-7.05E-01,9.43E-01,1.00E+00
7.47E-01,-1.19E+00,1.00E+00
7.73E-01,-1.18E+00,1.00E+00
-2.66E+00,6.06E-01,1.00E+00
-1.76E+00,4.51E-01,1.00E+00
-6.84E-01,1.66E+00,1.00E+00
1.07E+00,-4.53E-01,1.00E+00
-6.88E-01,-1.21E+00,-1.00E+00
-4.41E-01,-2.80E-01,-1.00E+00
-3.65E-01,1.57E-01,1.00E+00
5.79E-01,3.50E-01,-1.00E+00
-7.64E-01,-1.44E+00,-1.00E+00
1.36E+00,-6.89E-01,1.00E+00
-6.52E-01,-5.21E-01,-1.00E+00
-1.84E+00,-4.78E-01,-1.00E+00
-4.80E-01,6.20E-01,1.00E+00
6.98E-01,3.77E-03,-1.00E+00
9.32E-01,3.40E-01,-1.00E+00
-1.57E-02,1.61E-01,1.00E+00
-1.91E-01,-3.95E-01,-1.00E+00
-2.68E-01,-1.13E+00,-1.00E+00
2.80E-01,-9.93E-01,1.00E+00
8.42E-01,-2.49E-01,1.00E+00
4.95E-02,4.94E-01,-1.00E+00
6.43E-01,-1.57E+00,1.00E+00
-2.07E-01,8.80E-01,1.00E+00
-1.70E+00,3.87E-01,1.00E+00
-2.26E+00,-1.02E+00,-1.00E+00
3.86E-02,-1.66E+00,1.00E+00
-9.86E-01,-1.47E+00,-1.00E+00
1.65E+00,1.64E-01,-1.00E+00
5.67E-01,-2.23E-01,1.00E+00
-3.53E-01,-1.62E+00,-1.00E+00
-2.92E-01,-7.61E-01,-1.00E+00
8.58E-01,1.14E+00,-1.00E+00
1.47E+00,8.53E-01,-1.00E+00
-5.99E-01,-1.12E+00,-1.00E+00
7.67E-01,3.56E-01,-1.00E+00
-1.77E+00,3.55E-01,1.00E+00
8.15E-01,5.89E-02,-1.00E+00
-1.85E-01,-8.08E-01,-1.00E+00
-1.45E+00,8.00E-01,1.00E+00
-3.09E-01,-2.33E-01,-1.00E+00
1.73E+00,6.85E-01,-1.00E+00
3.71E-01,1.42E-01,-1.00E+00
1.52E+00,1.72E+00,-1.00E+00
9.30E-01,5.82E-01,-1.00E+00
-2.09E+00,1.24E-01,1.00E+00
-1.30E-01,9.40E-02,1.00E+00
9.43E-01,-2.74E+00,1.00E+00
-5.69E-01,2.70E-01,1.00E+00
-4.67E-01,-1.42E+00,-1.00E+00
8.69E-01,2.77E-01,-1.00E+00
-9.71E-01,3.15E-01,1.00E+00
8.22E-01,5.29E-03,-1.00E+00
8.01E-01,7.83E-02,-1.00E+00
-3.95E-01,-1.16E+00,-1.00E+00
-8.59E-02,1.94E-01,1.00E+00
8.76E-01,-1.15E-01,1.00E+00
4.57E-01,-9.65E-01,1.00E+00
-7.83E-01,-1.10E-01,-1.00E+00
-1.05E+00,8.20E-01,1.00E+00
4.63E-01,2.79E-01,-1.00E+00
3.39E-01,2.02E+00,-1.00E+00
-4.69E-01,-2.20E+00,-1.00E+00
1.99E-01,-5.06E-02,1.00E+00
-5.18E-01,-9.79E-01,-1.00E+00
-4.39E-01,1.81E-01,1.00E+00
-5.03E-01,2.41E+00,1.00E+00
-9.61E-01,-7.93E-01,-1.00E+00
-2.29E+00,2.51E-01,1.00E+00
-2.02E+00,-5.39E-01,-1.00E+00
-2.76E-01,-7.10E-01,-1.00E+00
1.74E+00,9.94E-01,-1.00E+00
1.32E+00,-8.82E-01,1.00E+00
1.13E+00,4.96E-01,-1.00E+00
7.71E-01,1.03E+00,-1.00E+00
-9.09E-01,-4.24E-01,-1.00E+00
8.63E-01,-2.66E+00,1.00E+00
1.51E+00,5.53E-01,-1.00E+00
-4.57E-02,2.21E-01,1.00E+00
-1.03E+00,-3.50E-01,-1.00E+00
1.10E+00,1.30E+00,-1.00E+00
2.70E+00,-7.39E-02,1.00E+00
-6.59E-01,-5.14E-01,-1.00E+00
-1.02E+00,-7.79E-02,-1.00E+00
3.83E-01,-3.42E-02,1.00E+00
1.10E+00,-2.34E-01,1.00E+00
-3.47E-01,-5.81E-01,-1.00E+00
-1.63E+00,-1.57E+00,-1.00E+00
-1.18E+00,1.30E+00,1.00E+00
8.95E-01,1.37E+00,-1.00E+00
-1.33E+00,-1.97E+00,-1.00E+00
-6.60E-01,1.76E-01,1.00E+00
4.99E-01,1.05E+00,-1.00E+00
2.84E-01,1.74E+00,-1.00E+00
-2.23E-01,-9.13E-01,-1.00E+00
-1.68E+00,-8.89E-01,-1.00E+00
2.42E-01,-8.89E-01,1.00E+00
9.37E-01,1.41E+00,-1.00E+00
-2.37E+00,8.64E-01,1.00E+00
-2.24E+00,4.01E-01,1.00E+00
1.22E+00,6.49E-02,-1.00E+00
-1.28E+00,-5.85E-01,-1.00E+00
-2.62E-01,-1.82E-01,-1.00E+00
-2.03E-01,-1.10E-01,-1.00E+00
2.13E-01,-1.21E+00,1.00E+00
-2.42E-01,1.52E+00,1.00E+00
-3.85E-01,-4.44E-01,-1.00E+00
1.08E+00,-2.56E+00,1.00E+00
1.18E+00,-6.32E-01,1.00E+00
1.64E-01,9.63E-02,-1.00E+00
9.42E-01,-2.68E-01,1.00E+00
-6.78E-01,1.30E+00,1.00E+00
-2.36E+00,2.03E-02,1.00E+00
-1.35E+00,-7.62E-01,-1.00E+00
2.01E+00,-4.46E-02,1.00E+00
1.95E-01,-1.78E+00,1.00E+00
-7.29E-01,1.97E-01,1.00E+00
3.55E-01,6.17E-01,-1.00E+00
8.63E-03,5.27E-01,-1.00E+00
4.54E-01,-1.83E+00,1.00E+00
3.70E-02,7.68E-01,-1.00E+00
5.90E-01,-3.64E-01,1.00E+00
-8.06E-01,-1.12E+00,-1.00E+00
-1.31E-01,1.13E+00,1.00E+00
-1.95E+00,-6.60E-01,-1.00E+00
-1.14E+00,7.85E-01,1.00E+00
-5.54E-01,-4.71E-01,-1.00E+00
-2.17E-01,4.45E-01,1.00E+00
-3.92E-01,-3.05E+00,-1.00E+00
5.43E-01,4.39E-01,-1.00E+00
-2.20E-01,-1.08E+00,-1.00E+00
3.52E-01,3.79E-01,-1.00E+00
-4.70E-01,-2.17E-01,-1.00E+00
-9.30E-01,-1.79E-01,-1.00E+00
-1.55E+00,4.17E-01,1.00E+00
-9.44E-01,2.38E-01,1.00E+00
-1.41E+00,-5.90E-01,-1.00E+00
-1.10E-01,-1.66E+00,-1.00E+00
1.15E-01,-3.79E-01,1.00E+00
-1.74E+00,-1.30E+00,-1.00E+00
6.05E-01,8.96E-01,-1.00E+00
-1.32E-01,4.05E-01,1.00E+00
2.24E-01,3.30E-01,-1.00E+00
1.29E+00,-1.51E+00,1.00E+00
6.76E-01,-3.82E-01,1.00E+00
-2.24E-01,-3.02E-01,-1.00E+00
-3.75E-01,-1.23E+00,-1.00E+00
1.83E-01,1.67E+00,-1.00E+00
-5.61E-02,-1.39E-03,-1.00E+00
-6.87E-01,-1.17E-01,-1.00E+00
4.66E-01,-3.70E-01,1.00E+00
-4.54E-01,4.03E-01,1.00E+00
-9.18E-01,2.52E-01,1.00E+00
8.20E-01,1.36E+00,-1.00E+00
-9.04E-02,1.37E+00,1.00E+00
1.03E+00,-9.96E-01,1.00E+00
-1.22E+00,-3.05E-01,-1.00E+00
1.03E+00,-7.23E-02,1.00E+00
-6.01E-01,1.55E+00,1.00E+00
2.87E-01,-2.32E+00,1.00E+00
3.17E-01,5.20E-01,-1.00E+00
2.26E-01,4.50E-01,-1.00E+00
-6.73E-02,-1.32E+00,-1.00E+00
-3.71E-01,-9.46E-01,-1.00E+00
-9.33E-01,-1.26E+00,-1.00E+00
4.52E-01,9.79E-02,-1.00E+00
-4.48E-01,-6.49E-01,-1.00E+00
-2.34E-02,1.08E+00,1.00E+00
-2.00E+00,3.77E-01,1.00E+00
-5.46E-01,-1.88E+00,-1.00E+00
-1.95E+00,-9.13E-01,-1.00E+00
2.20E-01,3.93E-01,-1.00E+00
-9.39E-01,1.02E+00,1.00E+00
1.42E+00,3.96E-01,-1.00E+00
-5.91E-01,1.12E+00,1.00E+00
7.55E-01,8.67E-01,-1.00E+00
-6.56E-01,-2.83E+00,-1.00E+00
2.12E+00,-1.61E+00,1.00E+00
-3.58E-02,2.38E+00,1.00E+00
3.31E-01,9.49E-01,-1.00E+00
-1.50E+00,-1.78E+00,-1.00E+00
-5.33E-01,1.09E+00,1.00E+00
-3.46E-01,-7.95E-01,-1.00E+00
1.98E-01,1.08E+00,-1.00E+00
-1.44E+00,-1.21E+00,-1.00E+00
-7.89E-01,1.09E+00,1.00E+00
2.35E-01,2.13E+00,-1.00E+00
9.36E-01,-3.51E-02,1.00E+00
1.27E+00,2.11E-01,-1.00E+00
-7.05E-01,6.80E-01,1.00E+00
-6.96E-01,-2.90E-01,-1.00E+00
1.33E+00,-1.01E-01,1.00E+00
-8.03E-01,-4.64E-01,-1.00E+00
1.02E+00,-5.53E-01,1.00E+00
-3.87E-01,-5.10E-01,-1.00E+00
1.84E-01,-3.85E-01,1.00E+00
-1.60E+00,-8.87E-01,-1.00E+00
-9.33E-01,1.24E+00,1.00E+00
8.13E-01,5.87E-01,-1.00E+00
-5.05E-01,-8.16E-01,-1.00E+00
-5.08E-01,-1.05E+00,-1.00E+00
2.50E+00,-2.25E+00,1.00E+00
5.64E-01,-1.28E+00,1.00E+00
-1.04E-01,-9.88E-01,-1.00E+00
-1.18E+00,-1.14E+00,-1.00E+00
1.75E+00,-1.33E-01,1.00E+00
-7.66E-01,5.56E-01,1.00E+00
1.03E-02,7.20E-01,-1.00E+00
-1.82E+00,3.04E-01,1.00E+00
7.73E-01,-1.66E+00,1.00E+00
4.48E-01,1.70E+00,-1.00E+00
-1.49E-02,8.21E-01,1.00E+00
6.71E-01,-7.08E-01,1.00E+00
3.98E-02,-1.57E+00,1.00E+00
-4.51E-01,2.66E-01,1.00E+00
7.23E-01,2.46E-02,-1.00E+00
7.20E-01,-1.10E+00,1.00E+00
-1.02E-01,1.93E-02,1.00E+00
1.85E+00,-2.14E-01,1.00E+00
-4.99E-01,2.14E-02,1.00E+00
-9.19E-01,1.93E-01,1.00E+00
-3.65E-01,-1.79E+00,-1.00E+00
-5.86E-02,-3.18E-01,-1.00E+00
-1.63E+00,-6.71E-02,-1.00E+00
1.49E+00,5.21E-01,-1.00E+00
6.12E-01,-1.34E+00,1.00E+00
4.77E-01,1.48E-01,-1.00E+00
5.29E-01,4.23E-01,-1.00E+00
-1.36E+00,-4.14E-02,-1.00E+00
-7.58E-01,-5.01E-02,-1.00E+00
-8.97E-01,1.31E+00,1.00E+00
-8.59E-01,-8.99E-01,-1.00E+00
7.46E-02,-1.08E+00,1.00E+00
-4.25E-01,-8.30E-01,-1.00E+00
1.41E+00,7.86E-01,-1.00E+00
-5.75E-02,-3.91E-01,-1.00E+00
9.41E-01,4.05E-01,-1.00E+00
4.98E-01,-2.62E-02,1.00E+00
-1.69E+00,-1.12E-01,-1.00E+00
-5.32E-01,6.45E-01,1.00E+00
1.01E+00,-6.58E-01,1.00E+00
4.68E-01,1.74E+00,-1.00E+00
-6.68E-01,1.68E+00,1.00E+00
-8.53E-01,2.30E-02,1.00E+00
-1.11E-02,1.15E-02,1.00E+00
-8.38E-01,-5.91E-01,-1.00E+00
-6.68E-01,3.27E-01,1.00E+00
3.30E-01,2.23E+00,-1.00E+00
1.37E+00,-5.10E-01,1.00E+00
3.25E-01,9.97E-01,-1.00E+00
3.06E-02,-6.96E-02,1.00E+00
5.16E-02,8.67E-01,-1.00E+00
-8.48E-01,-3.26E-01,-1.00E+00
4.70E-01,3.11E-01,-1.00E+00
2.40E-01,-3.70E-01,1.00E+00
9.73E-01,2.13E+00,-1.00E+00
4.06E-01,-1.93E-01,1.00E+00
7.56E-01,-5.39E-01,1.00E+00
-7.50E-01,3.28E-02,1.00E+00
-2.58E+00,-1.15E+00,-1.00E+00
-3.48E-01,-1.35E+00,-1.00E+00
-1.03E+00,-4.37E-01,-1.00E+00
-1.64E+00,-4.06E-01,-1.00E+00
-5.35E-01,2.54E-02,1.00E+00
1.15E+00,1.73E-01,-1.00E+00
2.11E-02,9.95E-02,-1.00E+00
2.27E-01,-1.02E+00,1.00E+00
-1.15E-01,3.09E-01,1.00E+00
-1.37E+00,8.66E-01,1.00E+00
1.08E+00,-6.31E-01,1.00E+00
-2.41E-01,-8.78E-01,-1.00E+00
6.99E-01,-1.06E+00,1.00E+00
-2.22E-01,-8.59E-01,-1.00E+00
5.10E-02,-1.79E+00,1.00E+00
1.33E+00,-9.65E-01,1.00E+00
5.99E-02,-2.13E-01,1.00E+00
-7.62E-01,-8.88E-01,-1.00E+00
9.36E-01,-5.26E-01,1.00E+00
2.71E-01,-8.01E-01,1.00E+00
-6.47E-01,4.72E-01,1.00E+00
9.30E-01,-1.75E-01,1.00E+00
-1.42E+00,2.00E+00,1.00E+00
-8.57E-01,-1.54E+00,-1.00E+00
2.59E+00,-4.04E-01,1.00E+00
-1.46E+00,-6.83E-01,-1.00E+00
3.68E-01,1.90E-01,-1.00E+00
-8.52E-01,1.82E+00,1.00E+00
-5.22E-01,-1.18E+00,-1.00E+00
9.61E-01,1.33E+00,-1.00E+00
-8.17E-01,-1.40E+00,-1.00E+00
1.03E+00,-2.05E+00,1.00E+00
-1.23E+00,9.67E-01,1.00E+00
-5.54E-02,-2.64E-01,-1.00E+00
3.53E-01,-1.53E-01,1.00E+00
-1.30E+00,1.28E+00,1.00E+00
1.33E+00,2.05E-01,-1.00E+00
4.51E-02,2.34E+00,-1.00E+00
-2.76E-01,-2.60E-01,-1.00E+00
3.64E-01,1.47E+00,-1.00E+00
1.59E+00,-2.59E-01,1.00E+00
3.08E-01,-1.38E+00,1.00E+00
-3.12E-01,-8.40E-01,-1.00E+00
-1.01E+00,1.68E+00,1.00E+00
-7.92E-01,-5.32E-01,-1.00E+00
3.66E-01,1.30E+00,-1.00E+00
4.81E-01,2.76E+00,-1.00E+00
-7.47E-02,2.59E-01,1.00E+00
2.76E-01,1.44E+00,-1.00E+00
5.07E-01,-1.16E-01,1.00E+00
-9.47E-01,2.44E-01,1.00E+00
1.40E+00,-4.10E-01,1.00E+00
5.29E-01,2.46E-01,-1.00E+00
8.64E-01,-8.05E-01,1.00E+00
2.35E+00,-1.28E+00,1.00E+00
-3.66E-01,9.38E-01,1.00E+00
2.97E-01,8.30E-01,-1.00E+00
-4.96E-01,-7.48E-02,-1.00E+00
1.22E-02,1.57E+00,-1.00E+00
6.90E-01,7.97E-01,-1.00E+00
-6.58E-01,9.69E-01,1.00E+00
2.26E-01,1.39E+00,-1.00E+00
2.01E+00,-3.07E-01,1.00E+00
-4.06E-01,-8.64E-01,-1.00E+00
-1.44E-01,-3.82E-01,-1.00E+00
3.60E-01,-1.45E-01,1.00E+00
-3.62E-01,1.06E+00,1.00E+00
-9.38E-01,4.33E-01,1.00E+00
-4.06E-01,7.24E-01,1.00E+00
1.39E+00,-3.03E-01,1.00E+00
4.41E-01,1.79E-01,-1.00E+00
-7.99E-01,2.41E-01,1.00E+00
2.89E-01,4.13E-01,-1.00E+00
-1.98E-01,9.42E-02,1.00E+00
-1.15E+00,-3.58E-01,-1.00E+00
